#identifier	country	group	latitude	longitude	sex	mt_hg
I5771	Serbia	HGS	44,53	22,05	M	U5a1c1
I5772	Serbia	HGS	44,53	22,05	M	U5a2a
I5773	Serbia	HGS	44,53	22,05	M	U4a
I5232	Serbia	HGS	44,6	22,01	M	K1a
I0550	Germany	CWC	51,28	11,65	F	T1a1
I1508	Hungary	LBK	47,32	21,53	F	K1a
I1507	Hungary	LBK	47,93	21,2	M	R1b1
Kostenki14	Russia	HGE	51,23	39,3	M	
I0679	Bulgaria	NEBA	42,02	25,6	F	H5
I4432	Latvia	HGE	56,28	25,13	M	U5a2c
I4434	Latvia	HGE	56,28	25,13	M	U5a2d
I4438	Latvia	HGE	56,28	25,13	M	U4b1a2
I4439	Latvia	HGE	56,28	25,13	M	U5b1d1
I4440	Latvia	HGE	56,28	25,13	M	U4a1
I4441	Latvia	HGE	56,28	25,13	M	U5a1c
I4550	Latvia	HGE	56,28	25,13	M	U5b2a1a
I4551	Latvia	HGE	56,28	25,13	M	U5a2c3
I4552	Latvia	HGE	56,28	25,13	F	U5a1d
I4553	Latvia	HGE	56,28	25,13	M	U5a1c
I4595	Latvia	HGE	56,28	25,13	F	U2e1
I4596	Latvia	HGE	56,28	25,13	M	U5a2d
I4626	Latvia	NEBL	56,28	25,13	M	U2e1
I4628	Latvia	NEBL	56,28	25,13	M	U5a2d
I4630	Latvia	HGE	56,28	25,13	M	U5a2c
I4632	Latvia	HGE	56,28	25,13	F	U5a1c
I4629	Latvia	CWC	56,28	25,13	F	U5a1b
I4435	Latvia	NEBL	56,28	25,13	F	U4a1
I4436	Latvia	HGE	56,28	25,13	M	U4a1
I4437	Latvia	HGE	56,28	25,13	F	U5a1d2
I4554	Latvia	HGE	56,28	25,13	F	U4d1
I4627	Latvia	NEBL	56,28	25,13	M	U4a1
I5068	Austria	LBK	48,67	16,58	M	T2b23
I5069	Austria	LBK	48,67	16,58	F	N1a1
I5070	Austria	LBK	48,58	16,47	M	K1a1a
I5204	Austria	LBK	48,58	16,47	M	J1c2
I5205	Austria	LBK	48,58	16,47	F	H
I5206	Austria	LBK	48,58	16,47	F	T2b
I5207	Austria	LBK	48,58	16,47	M	H67
I5208	Austria	LBK	48,58	16,47	F	K1b1a
I1496	Hungary	LBK	47,17	19,83	M	K1a3a3
I1495	Hungary	LDN	47,17	19,83	M	N1a1a1a
I4665	Serbia	HGS	44,55	22,03	F	J2b1
I4666	Serbia	HGS	44,55	22,03	M	H40
I5405	Serbia	HGS	44,55	22,03	F	HV
I5407	Serbia	HGS	44,55	22,03	F	H13
I1414	Jordan	PPNE	31,99	35,98	M	K1a18
I1415	Jordan	PPNE	31,99	35,98	M	
I1416	Jordan	PPNE	31,99	35,98	M	
I1679	Jordan	PPNE	31,99	35,98	F	I
I1699	Jordan	PPNE	31,99	35,98	F	R0a2
I1700	Jordan	PPNE	31,99	35,98	M	T1a2
I1701	Jordan	PPNE	31,99	35,98	F	K1a18
I1704	Jordan	PPNE	31,99	35,98	F	T1a
I1707	Jordan	PPNE	31,99	35,98	M	R0a
I1709	Jordan	PPNE	31,99	35,98	M	U8b1a
I1710	Jordan	PPNE	31,99	35,98	M	T1a2
I1727	Jordan	PPNE	31,99	35,98	M	T1a2
I0867	Israel	PPNE	31,79	35,17	M	K1a4b
I1108	Bulgaria	NEBA	43,98	26,4	M	T2e
I1109	Bulgaria	NEBA	43,98	26,4	F	J2b1
I1113	Bulgaria	NEBA	43,98	26,4	F	U5a1c
I1295	Bulgaria	NEBA	43,98	26,4	M	J1c
I1296	Bulgaria	NEBA	43,98	26,4	M	U5a2
I1297	Bulgaria	NEBA	43,98	26,4	F	H5b
I2215	Bulgaria	NEBA	43,98	26,4	U	T2b
I2216	Bulgaria	NEBA	43,98	26,4	F	J2b1
I3879	Bulgaria	NEBA	43,98	26,4	M	H
I0070	Greece	MIC	35,08	25,83	M	H13a1a
I0071	Greece	MIC	35,08	25,83	F	U5a1
I0073	Greece	MIC	35,08	25,83	M	H1bm
I0074	Greece	MIC	35,08	25,83	F	H5
I9005	Greece	MIC	35,08	25,83	F	H
I9127	Greece	MIC	35,05	24,81	F	J2b1a1
I9128	Greece	MIC	35,05	24,81	F	I5
I9129	Greece	MIC	35,05	24,81	F	H+163
I9130	Greece	MIC	35,05	24,81	M	U3b3
I9131	Greece	MIC	35,05	24,81	F	K1a2
mota	Ethiopia	BAAF	6,8	38,21	M	L3x2a
RISE175	Sweden	BASC	55,4	13,6	M	T1a1
RISE210	Sweden	BASC	56	14,1	M	T2a1a
RISE47	Denmark	BASC	56,97	9,55	M	I
RISE276	Denmark	BASC	55,91	11,57	M	T2b
RISE179	Sweden	NESC	55,4	13,6	M	K1a3
RISE71	Denmark	NESC	56,68	10,03	F	H3b
RISE97	Sweden	NESC	55,56	13,06	F	K2a5
RISE98	Sweden	NESC	55,38	13,45	M	K1b1a1
RISE61	Denmark	NESC	55,7	11,86	M	J1c4
Klei10	Greece	NEGr	40,43	21,86	M	K1a2
Pal7	Greece	NEGr	40,48	22,48	F	J1c1
Rev5	Greece	NEGr	40,32	22,58	F	X2b
I2937	Greece	NEGr	36,64	22,38	F	K1a26
I3708	Greece	NEGr	36,64	22,38	F	T1a
I3709	Greece	NEGr	36,64	22,38	F	K1b1a
I3920	Greece	NEGr	36,64	22,38	F	H
I5427	Greece	NEGr	36,64	22,38	F	K1a24
I2318	Greece	NEGr	37,42	23,13	F	H2
RISE486	Italy	BAIt	45,26	10,38	M	J1c1b
RISE487	Italy	BAIt	45,26	10,38	M	H2a
RISE489	Italy	BAIt	45,26	10,38	M	X2c1
I2534	Romania	NEBA	44,02	25,4	F	K1
RISE555	Russia	BARu	48,72	44,5	M	N1a1a-T152C
I1926	Ukraine	TRP	48,47	25,53	M	H5a
I2110	Ukraine	TRP	48,47	25,53	M	T2b
I2111	Ukraine	TRP	48,47	25,53	M	HV
I3151	Ukraine	TRP	48,47	25,53	M	U8b1b
I6561	Ukraine	NEUk	49,71	37,58	M	H2a1a
I4110	Ukraine	NEUk	48,91	33,76	F	J2b1
I5882	Ukraine	NEUk	48,91	33,76	F	U5a2a
I5884	Ukraine	NEUk	48,91	33,76	M	U5a2b
I5876	Ukraine	HGE	48,91	33,76	M	U5a2a
I5885	Ukraine	NEUk	48,91	33,76	F	U5b2b
I1733	Ukraine	HGE	48,3	35,14	F	U4b
I1734	Ukraine	HGE	48,3	35,14	M	U5b2
I1737	Ukraine	HGE	48,3	35,14	F	U5a2
I1763	Ukraine	HGE	48,3	35,14	M	U5b2
I1819	Ukraine	HGE	48,3	35,14	M	U5b2
I3717	Ukraine	NEUk	48,91	33,76	M	U5a2a
I3718	Ukraine	NEUk	48,91	33,76	M	U5a1b
I4111	Ukraine	NEUk	48,91	33,76	F	U4d
I4112	Ukraine	NEUk	48,91	33,76	M	U5a2a
I4114	Ukraine	NEUk	48,91	33,76	M	U5a1
I5875	Ukraine	NEUk	48,91	33,76	M	U4a1
I5881	Ukraine	NEUk	48,91	33,76	M	U5a1b
I5883	Ukraine	NEUk	48,91	33,76	M	U4a
I5886	Ukraine	NEUk	48,91	33,76	M	U4a
I5889	Ukraine	NEUk	48,91	33,76	F	U5a2a
I5890	Ukraine	NEUk	48,91	33,76	M	U5a1b
I5891	Ukraine	NEUk	48,91	33,76	M	U4d
I5892	Ukraine	NEUk	48,91	33,76	M	U4a1
I5893	Ukraine	NEUk	48,91	33,76	M	U5a2a
I1736	Ukraine	NEUk	48,3	35,14	F	U5b2b1
I3712	Ukraine	NEUk	47,95	35,39	M	U4b1a
I3713	Ukraine	NEUk	47,95	35,39	M	U4b1a
I3714	Ukraine	NEUk	47,95	35,39	M	U4d
I3715	Ukraine	NEUk	47,95	35,39	M	U2e1
I3716	Ukraine	NEUk	47,95	35,39	M	U5b2a1a
I5868	Ukraine	NEUk	47,95	35,39	M	U4d
I5870	Ukraine	NEUk	47,95	35,39	M	U4b1b1
I5872	Ukraine	NEUk	47,95	35,39	M	U5a2a
I5873	Ukraine	NEUk	47,95	35,39	F	U4b
I5957	Ukraine	NEUk	47,95	35,39	M	T2
I6133	Ukraine	NEUk	47,95	35,39	F	U5b2a1a
I1378	Ukraine	NEUk	48,3	35,14	M	U4b
I1732	Ukraine	NEUk	48,3	35,14	F	U4b
I1738	Ukraine	NEUk	48,3	35,14	M	U5a2
I3719	Ukraine	NEUk	48,91	33,76	M	H1
I0803	Germany	UNC	51,17	11,85	F	H4a1a1a
I0804	Germany	UNC	51,17	11,85	M	H3
I0047	Germany	UNC	51,9	11,05	F	V9
ANI152	Bulgaria	CABA	43,21	27,86	M	U2
ANI153	Bulgaria	CABA	43,21	27,86	M	U4
ANI159	Bulgaria	CABA	43,21	27,86	M	T2b2b
ANI160	Bulgaria	CABA	43,21	27,86	M	H1ag
ANI163	Bulgaria	CABA	43,21	27,86	F	H7a1
DV16	Czech Republic	HGC	48,53	16,39	M	U5
Villabruna	Italy	HGS	46,15	12,21	M	U5b2b
I3499	Croatia	CABA	45,76	18,57	M	T2e
I2792	Croatia	CABA	45,34	19,06	M	T2c2
I4175	Croatia	CABA	45,34	19,06	F	U4a
BerryAuBac1	France	HGW	49,24	3,54	M	U5b1a
Chaudardes1	France	HGW	49,24	3,46	M	U5b1b
I2158	Italy	HGS	37,93	12,33	F	U2'3'4'7'8'9
Bichon	Switzerland	HGW	47,1	6,87	M	U5b1h
I0585	Spain	HGW	42,91	-5,38	M	U5b2c
I1875	Croatia	HGS	42,97	16,71	F	U5b2b
Bul4	Bulgaria	YAM	42,43	25,9	M	
RISE547	Russia	YAM	46,54	43,7	M	T2a1a
RISE548	Russia	YAM	46,54	43,7	M	U4
I2105	Ukraine	YAM	48,22	37,15	F	T1a1
I3141	Ukraine	YAM	48,22	37,15	F	H15b1
I1917	Ukraine	YAM	48,99	33,95	F	R0a1
Denisova3	Russia	HGE	51,397395	84,676497	F	L
KZ1	Poland	LDN	52,739966	18,253056	F	U5b2a1a
KZ2	Poland	LDN	52,739966	18,253056	F	K1c
KZ3	Poland	LDN	52,739966	18,253056	U	H3d
KZ4	Poland	LDN	52,739966	18,253056	F	K1a4
SCY192	Moldova	SCU	46,67	29,81	F	H8c
SCY193	Moldova	SCU	46,67	29,81	M	U5a2a1
SCY196	Moldova	SCU	46,67	29,81	U	W3a
SCY197	Moldova	SCU	46,67	29,81	M	U5a1a1
SCY300	Moldova	SCU	46,67	29,81	F	H5b
SCY303	Moldova	SCU	46,67	29,81	F	U5a1a2b
SCY305	Moldova	SCU	46,67	29,81	U	U5a2b
SCY308	Moldova	SCU	46,67	29,81	U	F1d
SCY311	Moldova	SCU	46,67	29,81	F	T2b
SCY332	Moldova	SCU	46,67	29,81	F	M10a1a1a
SCY334	Moldova	SCU	46,67	29,81	U	H5b
SCY001	Ukraine	SCU	49,050278	33,241944	U	U5a1b
SCY002	Ukraine	SCU	49,050278	33,241944	U	J1c2
SCY006	Ukraine	SCU	47,375556	33,375	F	D4j2
SCY011	Ukraine	SCU	48,980556	30,178611	F	A
SCY012	Ukraine	SCU	48,5333	28,75	U	U5b2a1a2
SCY009	Ukraine	SCU	47,375556	33,375	M	J2b1a6
SCY010	Ukraine	SCU	47,375556	33,375	F	N1b1a
SCY005	Ukraine	SCU	44,951944	34,102222	F	H
01-jan	Poland	HGC	51,844592	20,055508	M	U5b1b1
Sam1	Poland	LBK	50,641037	21,650992	F	N1a1a1a
KM1	Poland	LDN	50,261285	20,536066	F	U5b1b
KZ6	Poland	LDN	52,739966	18,253056	F	N1a1a1a3
R18_1	Poland	LDN	52,056064	16,704982	F	K2a
NHP1	Poland	LDN	50,065722	20,104998	U	H5
PCA0001	Poland	MAPl	52,59	16,78	M	W
PCA0002	Poland	MAPl	52,59	16,78	M	H28a1
PCA0003	Poland	MAPl	52,59	16,78	F	H5a1
PCA0004	Poland	MAPl	52,59	16,78	F	U3a1a1
PCA0006	Poland	MAPl	52,59	16,78	F	U5a1d1
PCA0007	Poland	MAPl	52,59	16,78	F	W1
PCA0013	Poland	MAPl	52,59	16,78	U	J1c3
PCA0015	Poland	MAPl	52,59	16,78	M	H1f1a
PCA0018	Poland	MAPl	52,59	16,78	M	HV18
PCA0026	Poland	MAPl	52,59	16,78	F	T2b16
PCA0027	Poland	MAPl	52,59	16,78	M	H1a
PCA0028	Poland	MAPl	52,59	16,78	F	U3a1a
PCA0029	Poland	MAPl	52,59	16,78	U	X2c1
PCA0030	Poland	MAPl	52,59	16,78	F	H2a2b
PCA0031	Poland	MAPl	52,59	16,78	F	K2a
PCA0032	Poland	MAPl	52,59	16,78	F	T2n
PCA0034	Poland	MAPl	52,59	16,78	F	K2a
PCA0035	Poland	MAPl	52,59	16,78	M	J2b1a5
PCA0036	Poland	MAPl	52,59	16,78	M	U5b1d1
PCA0037	Poland	MAPl	52,59	16,78	M	T2e
PCA0038	Poland	MAPl	52,59	16,78	U	H1e1a
PCA0040	Poland	MAPl	52,59	16,78	M	I4a
PCA0041	Poland	MAPl	52,59	16,78	M	N
PCA0044	Poland	MAPl	52,59	16,78	F	H5a1
PCA0045	Poland	MAPl	52,59	16,78	F	U5b1d1
PCA0046	Poland	MAPl	52,59	16,78	M	U8a1a1b
PCA0047	Poland	MAPl	52,59	16,78	F	H5a1
PCA0049	Poland	MAPl	52,59	16,78	F	H1a
PCA0050	Poland	MAPl	52,59	16,78	M	H1e1a
PCA0051	Poland	MAPl	52,59	16,78	F	K2a
PCA0052	Poland	MAPl	52,59	16,78	F	U5a1a1
PCA0053	Poland	MAPl	52,59	16,78	F	K1b2a
PCA0054	Poland	MAPl	52,59	16,78	F	U3a1a
PCA0056	Poland	MAPl	52,59	16,78	F	T2b6a
PCA0057	Poland	MAPl	52,59	16,78	F	J1c7a
PCA0059	Poland	MAPl	52,59	16,78	F	K2a
PCA0060	Poland	MAPl	52,59	16,78	M	U5b1d1
PCA0061	Poland	MAPl	52,59	16,78	U	H1ak
PCA0062	Poland	MAPl	52,59	16,78	M	U4a2
PCA0063	Poland	MAPl	52,59	16,78	M	H2a5
PCA0066	Poland	MAPl	52,59	16,78	M	H2a5
RISE1	Poland	CWC	52,29	17,54	U	K1b1a1
RISE21	Denmark	BASC	55,55	12,209	U	N1a1a1a2
RISE42	Denmark	NESC	55,657	12,148	M	H3v+16093
RISE139	Poland	UNC	50,796	17,094	F	U2e1f1
RISE145	Poland	UNC	50,913	17,177	M	H6a1b
RISE174	Sweden	IASC	55,545	13,098	F	W1
RISE207	Sweden	BASC	55,997	14,104	U	J1c8a1
RISE492	Russia	IARu	53,152	91,05	M	D4b1a2a2
RISE493	Russia	BARu	53,152	91,05	M	C4a1c
RISE494	Russia	BARu	53,152	91,05	M	I4a1
RISE495	Russia	BARu	52,954	90,187	M	D4j1
RISE496	Russia	BARu	52,954	90,187	F	U5a1a2a
RISE497	Russia	BARu	52,954	90,187	M	A+152+16362
RISE499	Russia	BARu	51,909	88,574	F	H5a1
RISE502	Russia	BARu	51,909	88,574	F	U5a1d
RISE504	Russia	IARu	53,456	85,447	F	C4a1d
RISE515	Russia	BARu	53,153	90,194	F	A8a
RISE516	Russia	BARu	53,153	90,194	F	H6a1b
RISE523	Russia	BARu	53,043	57,066	U	M12'G
RISE524	Russia	BARu	53,043	57,066	U	J2b1a
RISE525	Russia	BARu	53,043	57,066	U	I5c
RISE553	Russia	BARu	56,016	92,866	U	F1b
RISE554	Russia	BARu	56,016	92,866	U	F1b1b
RISE598	Lithuania	BABL	54,358	23,302	M	H2a2
